ServiceName,ParentService,Code,ShowInSnow,EstimatesOnly,TrackChemicals,SalesTaxCode,ServiceMode,InvoiceDescription,Active,DefaultRate,MinimumAmount,MinimumAmountMessage,DefaultBudgetedHours,DefaultCommission,PayOnBudgetedHours,InvoiceTimeFormat,Class,Account,EstimateDescription,CallScriptNotes,NumberOfVisits,RatePer,TargetPerHour,TargetPerHourWithDrive,AverageServiceYears,MatrixCalculation,MatrixCustomField,ChemicalProducts
NDS French Drain,,NDS French,False,False,False,,PerUnit,NDS French Drain,True,5.00,0.00,,0.00,None,False,None,,Sales,NDS French Drain Installation,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Lawn Mowing Bi-Weekly,,Lawn Mow BW,False,False,False,Non,PerUnit,"Mowing grass, trimming & edging around walks, trees, etc. and blowing clippings",True,65.00,0.00,,0.65,None,False,None,,Sales,"Lawn Mowing Bi-Weekly mowing grass, trimming &amp; edging around walks, trees, etc. and blowing clippings",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Annual Flowers.,,Annuals,False,False,False,Non,Hourly,Planting of Annual Flowers,True,0.00,0.00,,0.00,None,False,None,,Sales,Annual FlowersPlanting of Annual Flowers,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Priority Fungicide Application,,Priority Fungi,False,False,True,Non,PerUnit,Priority Fungicide Application,True,67.50,0.00,,0.00,None,False,None,,Sales,Priority Fungicide ApplicationThis is a one-time application to prevent the spread of fungus once it is already present in a lawn.Fungicide treatments do not repair damaged grass.  Pythium fungus is not prevented b,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,Propiconazole PPZ
Mulch Red by Hand 4-7 yds,,Mulch Red by Hand 4-7 yds,False,False,False,Non,PerUnit,Delivery and Installation of Red Mulch,True,83.00,0.00,,0.00,None,False,None,,Sales,"Hand Installed Red Mulch-Hand Installed Mulching-Deliver and install double-shredded, color-enhanced, red mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Soil Sample,,Soil Sample,False,False,False,Non,FlatRate,Soil Sample,True,45.00,0.00,,0.00,None,False,None,,Sales,"Soil Sample This soil sample will test your soils PH.  The results of this test will tell us what may be needed, in addition to the lawn applications, to help better establish a healthy lawn.An additional est",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Weed Control,,Weed Ctrl,False,False,False,,PerUnit,weed control in mulch beds - per mixed gallon,True,25.00,0.00,,0.00,None,False,None,,Sales,weed control in mulch beds - per mixed gallon,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Hand Installed 15+,,Mulch Hand Installed 15+,False,False,False,Non,PerUnit,Delivery and Installation of Mulch,True,70.00,0.00,,1.00,None,False,None,,Sales,"Hand Installed MulchEdge mulch beds.Deliver and install double-shredded, color-enhanced, hardwood mulch.*Please note that mulch preparation clean-up, such as removing leaves and sticks within the mulch beds, is not",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower BWS,,BWS Mulch,False,False,False,Non,PerUnit,Blower Installed Mulch,True,53.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Lighting,,Lighting,False,False,False,Non,PerUnit,"Landscape lighting design, materials & installation.",True,0.01,0.00,,0.00,None,False,None,,Sales,"Landscape Lighting InstallLandscape lighting design, materials &amp; installation.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Drainage,,Drainage,False,False,False,,PerUnit,installation of drain pipe,True,2.00,0.00,,0.00,None,False,None,,Sales,Drainage Installinstallation of drain pipe,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Bermuda Suppression,,Bermuda,False,False,False,Non,PerUnit,Bermuda Suppression Treatment,True,0.00,0.00,,0.00,None,False,None,,Sales,Bermuda SuppressionBermuda Suppression Treatment,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Irrigation Marking,,Irrigation Marking,False,False,False,Non,FlatRate,Flagging of Irrigation heads prior to aeration.,True,22.50,0.00,,0.00,None,False,None,,Sales,Irrigation Marking Flagging of Irrigation heads prior to aeration.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Dry Creek,,Dry Creek,False,False,False,Non,FlatRate,Delivery and Installation of Dry Creek,True,0.01,0.00,,0.00,None,False,None,,Sales,Dry CreekDelivery and Installation of Dry Creek,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Red by Hand 3 yds,,Mulch Red by Hand 3 yds,False,False,False,Non,PerUnit,Delivery and Installation of Red Mulch,True,84.00,0.00,,0.00,None,False,None,,Sales,"Hand Installed Red Mulch -Hand Installed Mulching-Deliver and install double-shredded, color-enhanced, red mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Blown Compost,,Blown Comp,False,False,False,,PerUnit,"Blower Installed Compost
(8-14yds)",True,70.00,0.00,,0.00,None,False,None,,Sales,Organic Compost InstallOrganic Compost - Labor IncludedIncreases organic matter in your soil.Makes clay soils more airy and helps them drain better.Helps sandy soils retain water.Helps balance,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Hedge Trimming - Fall,,Hedges - Fall,False,False,False,Non,FlatRate,Fall hedge or shrub trimming,True,285.00,0.00,,1.00,None,False,None,,Sales,Fall Hedge or Shrub Trimming,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Sod,,Sod,False,False,False,,PerUnit,"sod

NO WARRANTY ON SOD",True,4.50,0.00,,0.00,None,False,None,,Sales,Sod InstallationDeliver and install fresh cut sod,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower Homeowner 8-14,,Blown Mulch,False,False,False,,PerUnit,Blower Installed Mulching,True,70.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch Blower Installed MulchingDeliver and install double-shredded, color-enhanced, hardwood mulchBlower Installed mulching does not include edging of flower beds",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Limbing of Trees,,Limbing of,False,False,False,,PerUnit,limbing of trees,True,0.01,0.00,,0.00,None,False,None,,Sales,Limbing of Tree Service,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Unlimited Labor,,Mulch Unlimited Labor,False,False,False,Non,PerUnit,BB1208 Labor,True,26.00,0.00,,0.00,None,False,None,,Sales,BB1208 Labor,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Trash Pickup,,Trash Pick,False,False,False,,PerUnit,removal of trash,True,0.00,0.00,,0.00,None,False,None,,Sales,Trash Pickupremoval of trash,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Blown Play Ground Chips,,Blown Play,False,False,False,,PerUnit,play ground chips - blown In  ( 8 - 14 yds ),True,66.00,0.00,,0.00,None,False,None,,Sales,Blower Installed Playground Chips play ground chips - blown In ( 8 - 14 yds ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Dethatching,,Dethatchin,False,False,False,,PerUnit,"dethatching of lawn per 1,000 sqft",True,8.00,0.00,,0.00,None,False,None,,Sales,"Dethatching Service dethatching of lawn per 1,000 sqft",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
GL1 Crabgrass Pre-emergent 1,,GL1,False,False,True,Non,PerUnit,"Early Spring application of liquid pre-emergent crabgrass control, lawn fertilizer, and broadleaf weed control.",True,50.00,0.00,,0.25,None,False,None,,Sales,"Early SpringJanuary or FebruaryThis lawn care application consists of a complete lawn fertilizer, pre-emergent crabgrass control, and broadleaf weed control.",,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R1 Early Spring Lawn Treatment
Bad Debt,,Bad Debt,False,False,False,Non,FlatRate,Bad Debt,True,0.00,0.00,,0.00,None,False,None,,Bad Debt Expense,Bad Debt,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Quoted Cost,,Quoted Cost,False,False,False,Non,PerUnit,quoted cost for materials and services,True,0.00,0.00,,0.00,None,False,None,,Sales,quoted cost for materials and services,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Prep Clean Up,,Mulch Prep Clean Up,False,False,False,Non,PerUnit,Quoted cost for mulch preparation clean-up,True,285.00,0.00,,3.00,None,False,None,,Sales,"Mulch Preparation Clean-UpCleaning of leaves, sticks, and debris within the mulch beds in preparation for mulch installation.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Sidewalk Shoveling,Snow Removal,Snow Shovel,True,False,False,,PerUnit,clearing of snow from sidewalks & steps,True,75.00,0.00,,0.00,None,False,None,,Sales,Shoveling of Sidewalks clearing of snow from sidewalks &amp; steps,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Leaf & Vac Post New Year,,Leaf & Vac Post New Year,False,False,False,Non,FlatRate,Leaf & Vac Post New Year,True,285.00,0.00,,0.00,None,False,None,,Sales,Leaf and Vac Service Leaf &amp; Vac Post New YearClean leaves from areas of lawnClean leaves from mulch bedsVacuum Leaves*Cleaning leaves within wooded / natural areas is not included u,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
GL5F Early Fall Fertilizer,,GL5F,False,False,True,Non,PerUnit,Early Fall Starter Fertilizer,True,50.00,0.00,,0.25,None,False,None,,Sales,Early Fall FertilizerEarly Fall Starter Fertilizer,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,8-14-1
Mulch Hand Installed 4-7 yds,,Mulching,False,False,False,,PerUnit,Hand Installed Mulching,True,78.00,0.00,,0.00,None,False,None,,Sales,"Hand Installed Mulch Edge Mulch Beds.Deliver and install double-shredded, color-enhanced, hardwood mulch.*Please note that mulch preparation clean-up, such as removing leaves and sticks within the mulch beds, i",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Curbside Followup,,Curb Followup,False,False,False,Non,PerUnit,Vacuum Service,True,0.01,0.00,,0.50,None,False,None,,Sales,Curbside Follow-upVacuum Service,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
GL6 Late Fall Fertlizer,,GL6,False,False,True,Non,PerUnit,Fall lawn fertilization.,True,50.00,0.00,,0.25,None,False,None,,Sales,Late FallNovember or DecemberFall lawn fertilization continues to thicken the lawn and strengthen root development.,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R6 Late Fall Lawn Treatment
Downspout Emitter Extension,,Downspout Emitter Extension,False,False,False,Non,FlatRate,"Labor and materials provided for the connection, burial, and extension of the downspout emitters.",True,200.00,0.00,,0.00,None,False,None,,Sales,"Downspout Emitter Extension Labor and materials provided for the connection, burial, and extension of the downspout emitters.",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Sod Installation,,Sod Instal,False,False,False,,PerUnit,Sod Installation,True,1.00,0.00,,0.00,None,False,None,,Sales,Sod Installation,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower Cross Creek,,Cross Creek Mulch,False,False,False,Non,FlatRate,Blower installed mulch,True,53.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Route Inspection Mowing,,Inspect,False,False,False,Non,PerUnit,Customer Weekly Route Inspection,True,0.00,0.00,,0.20,None,False,None,,Sales,Customer Route Inspection,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Leaf & Vac Pre Christmas,,Leaf & Vac Pre Christmas,False,False,False,Non,FlatRate,Leaf & Vac Pre Christmas,True,285.00,0.00,,0.00,None,False,None,,Sales,Leaf and Vac Service Leaf &amp; Vac Pre ChristmasClean leaves from areas of lawnClean leaves from mulch bedsVacuum Leaves*Cleaning leaves within wooded / natural areas is not included u,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Debris Disposal,,Debris Dis,False,False,False,,PerUnit,disposal of debris,True,70.00,0.00,,0.00,None,False,None,,Sales,Debris Disposal disposal of debris,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Core Aeration & Fertilizing,,GL5 Core AF,False,False,True,,PerUnit,"Core aeration & application of fertilizer.
(Labor & material included)",True,32.00,0.00,,0.00,None,False,None,,Sales,Core Aeration and Fertilizer Aerating &amp; application of fertilizer (Labor &amp; material included),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,8-14-1
