ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,ac29dcde-2bd9-4e97-a3dd-8551a4792e37,6/12/2019,7/3/2019
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,edd76627-0617-4753-9197-455696ffb7db,5/4/2020,5/30/2020
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,8d8bb2b5-7159-405d-9033-8599b756e307,5/25/2020,6/20/2020
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,bc73d320-f0d6-44b7-9dfe-f99f7092ac5f,6/15/2020,7/11/2020
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,c8f55045-c2bd-4cc5-a384-7c113dc489f6,7/6/2020,8/1/2020
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,ad45bcfd-d739-4f71-9339-3e6eb3010c7f,4/26/2021,5/29/2021
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,998715d7-fc64-46e8-a5e4-177eec5e1df4,5/24/2021,6/19/2021
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,26fa92a2-60ef-4f8f-bef8-5738f6485c11,6/14/2021,7/10/2021
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,984c5d77-9885-4a23-a356-b569f9e63f01,7/5/2021,7/31/2021
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,52c9e711-514f-42b7-bad5-54889b01e2ad,4/26/2022,5/29/2022
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,a1843387-68e4-4d99-9e17-1a8127d22865,5/24/2022,6/19/2022
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,65ba5140-6699-47e7-b64b-acf8eddd5e96,6/14/2022,7/10/2022
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,f25529f7-5020-49cf-8ee0-e001ec24af4c,7/5/2022,7/31/2022
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,3a6d31ce-3b96-4d8c-8e3a-815cc8a3c5c7,4/26/2023,5/29/2023
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,14084755-9fbd-4165-bb16-f0d5456630cc,5/24/2023,6/19/2023
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,26c5e8dd-7cea-4c58-b024-50f0ae4ac857,6/14/2023,7/10/2023
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,063d2775-0a52-489c-a9d1-05bd60fa6b9d,7/5/2023,7/31/2023
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,936389bb-645f-41dd-a851-2d126f1540c8,4/29/2024,5/24/2024
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,3d83a477-f8a6-4650-ba67-899fc2eaad91,5/27/2024,6/14/2024
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,224bb263-492d-4131-92e1-9a45976b876e,6/17/2024,7/5/2024
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,cf690365-f0b8-412d-8229-68fcbdc32720,7/8/2024,7/31/2024
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,56c016f3-c295-4721-976d-0af839a84a3c,4/29/2025,5/24/2025
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,ef1323d7-10a7-47aa-a225-abdd580cd586,5/27/2025,6/14/2025
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,8ae44eab-bd0d-46a3-ac1f-c940ceeb5575,6/17/2025,7/5/2025
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,8841647a-a1be-4628-8ef5-d35b35aec2ea,7/8/2025,7/31/2025
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,6b70815a-ca7a-4dd8-8d4f-ddb9dede8a9b,4/29/2026,5/24/2026
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,0b92833a-525b-4cef-8400-cbb5e7364bcb,5/27/2026,6/14/2026
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,c0a8e3bb-27f5-40ae-9959-c2193aae99aa,6/17/2026,7/5/2026
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,305da6f9-b438-42ee-a172-16d4e5f5806a,7/8/2026,7/31/2026
5c0797b4-9227-4a87-9196-50b7353312b8,Organic Compost,Package,61f83523-e389-4f41-ac17-23068e353f56,9/1/2023,10/31/2023
